Charity/IPC Name,UENNo,Activities,Registration Date,Financial Size,Sector,Charity Status,Classification,Sector Administrator
Sze Cheng Keng Chinese Temple,T01SS0051A,Direct Services,24/10/2002,"$50,000 and <$200,000",Religious,Registered,Taoism,"Ministry of Culture, Community and Youth"
SUN YAT SEN NANYANG MEMORIAL HALL COMPANY LIMITED,199704070D,,26/8/1997,"$50,000 and <$200,000",Arts and Heritage,Registered,Historical & Cultural Conservation,"Ministry of Culture, Community and Youth"
Student Volunteer Corps (Singapore) (SVC),T02SS0183D,,15/3/2005,"$50,000 and <$200,000",Social and Welfare,Registered,Children/Youth,"Ministry of Culture, Community and Youth"
ST. JOSEPH'S INSTITUTION PHILANTHROPIC FUND FOR THE LASALLIAN MISSION LTD.,201024306N,"Financial assistance, bursaries & scholarships",23/3/2011,"$50,000 and <$200,000",Education,Registered with IPC,Foundations & Trusts,Ministry of Education
St Luke's Society for the Elderly,S91SS0088L,,08/4/1997,"$50,000 and <$200,000",Social and Welfare,Deregistered,Eldercare,Ministry of Social and Family Development
ST ANDREW'S CATHEDRAL CENTENARY TRUST,S84CC0031J,,16/2/1984,"$50,000 and <$200,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
SSP Financial Assistance Fund,T12CC0006B,"Financial assistance, bursaries & scholarships",24/7/2012,"$50,000 and <$200,000",Sports,Registered with IPC,Non-NSAs,Sport Singapore
Sri Sathya Sai Prema Nilayam,S95SS0153E,Direct Services,12/10/1999,"$50,000 and <$200,000",Religious,Registered,Hinduism,"Ministry of Culture, Community and Youth"
Sri Sathya Sai Baba Service Centre,S84SS0023B,Direct Services,30/8/2002,"$50,000 and <$200,000",Sports,Registered,Others,"Ministry of Culture, Community and Youth"
Sri Krishna Mandir Welfare Society,T02SS0007A,Direct Services,13/11/2002,"$50,000 and <$200,000",Social and Welfare,Registered,Children/Youth,Ministry of Social and Family Development
Sree Jadaah Muneeswarar Temple,S98SS0097L,,08/7/2003,"$50,000 and <$200,000",Religious,Registered,Hinduism,"Ministry of Culture, Community and Youth"
Sree Gnianananda Seva Samajam,S80SS0020E,,03/5/1991,"$50,000 and <$200,000",Religious,Registered,Hinduism,"Ministry of Culture, Community and Youth"
SPOT ART LIMITED,201404060Z,Direct Services,01/9/2014,"$50,000 and <$200,000",Arts and Heritage,Registered,Visual Arts,"Ministry of Culture, Community and Youth"
Sports Boules Singapore,S90SS0085G,Direct Services,12/1/2011,"$50,000 and <$200,000",Sports,Registered,NSAs,Sport Singapore
Special Oral Care Network,T20SS0180A,"Public awareness, promotion & advisory",07/6/2022,"$50,000 and <$200,000",Sports,Registered,Others; Special care oral health,Ministry of Health
SOURCE OF LIGHT SOCIETY (SINGAPORE),T00SS0009E,Training & education,13/9/2000,"$50,000 and <$200,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
SOULRICH FOUNDATION LTD.,201920479W,"Financial assistance, bursaries & scholarships",27/3/2020,"$50,000 and <$200,000",Social and Welfare,Registered,Community,Ministry of Social and Family Development
Soon Leng Keng,S97SS0176B,,21/3/2003,"$50,000 and <$200,000",Religious,Registered,Taoism,"Ministry of Culture, Community and Youth"
SOON HONG KEE SCHOLARSHIP TRUST FUND,S85CC0257D,"Financial assistance, bursaries & scholarships",06/11/1985,"$50,000 and <$200,000",Education,Registered,Foundations & Trusts,Ministry of Education
SONJA HOPE FOUNDATION LTD.,201601389E,Grantmaking,15/6/2017,"$50,000 and <$200,000",Others,Registered,Humanitarian Aid,"Ministry of Culture, Community and Youth"
Society of the Infant Jesus (Singapore),T08SS0029L,,14/3/2009,"$50,000 and <$200,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
Society of Love and Compassion,S99SS0004E,,11/11/2003,"$50,000 and <$200,000",Religious,Registered,Taoism,"Ministry of Culture, Community and Youth"
Society for the Promotion of Attention Deficit Hyperactivity Disorder Research and Knowledge,T00SS0172D,"Public awareness, promotion & advisory",03/7/2004,"$50,000 and <$200,000",Social and Welfare,Registered,Support Groups,Ministry of Social and Family Development
SOCIETY FOR MEN'S HEALTH (SINGAPORE),S99SS0083E,Training & education,11/10/2002,"$50,000 and <$200,000",Health,Registered,Diseases/Illnessess Support Group,Ministry of Health
Society Against Family Violence,S91SS0038H,Research,27/6/1991,"$50,000 and <$200,000",Social and Welfare,Registered,Family,Ministry of Social and Family Development
SMA CARE LIMITED,201908296R,Direct Services,30/3/2020,"$50,000 and <$200,000",Social and Welfare,Registered,Children/Youth,Ministry of Social and Family Development
SIR MANASSEH MEYER CHARITABLE TRUST,S89CC0636D,,25/3/1989,"$50,000 and <$200,000",Sports,Registered,Others,"Ministry of Culture, Community and Youth"
SINGYOUTH HUB,T11SS0032A,Training & education,12/9/2012,"$50,000 and <$200,000",Social and Welfare,Registered,Children/Youth,"Ministry of Culture, Community and Youth"
SING'THEATRE LTD.,200615018Z,,09/2/2007,"$50,000 and <$200,000",Arts and Heritage,Registered with IPC,Theatre & Dramatic Arts,"Ministry of Culture, Community and Youth"
SINGPOP MUSIC LIMITED,202030702G,Direct Services,21/3/2022,"$50,000 and <$200,000",Arts and Heritage,Registered,Music & Orchestras,"Ministry of Culture, Community and Youth"
SINGAPORE-INDIA PARTNERSHIP FOUNDATION,200513106D,,15/11/2005,"$50,000 and <$200,000",Others,Registered,General Charitable Purposes,"Ministry of Culture, Community and Youth"
SINGAPORE SEPAKTAKRAW FEDERATION (PERSES),S60SS0012H,Training & education,11/11/2011,"$50,000 and <$200,000",Sports,Registered with IPC,NSAs,Sport Singapore
Singapore Rollersports Federation,S99SS0058C,Direct Services,21/2/2013,"$50,000 and <$200,000",Sports,Registered,NSAs,Sport Singapore
SINGAPORE POCKET OPERA THEATRE LIMITED,201707311K,"Public awareness, promotion & advisory",18/5/2018,"$50,000 and <$200,000",Arts and Heritage,Deregistered,Music & Orchestras,"Ministry of Culture, Community and Youth"
Singapore Planned Families Association,S63SS0018K,"Public awareness, promotion & advisory",06/10/1983,"$50,000 and <$200,000",Social and Welfare,Registered,Community,Ministry of Social and Family Development
Singapore Nurses' Christian Fellowship,S60SS0018F,,02/10/1986,"$50,000 and <$200,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
Singapore National Academy Of Science,S76SS0028L,,30/5/1986,"$50,000 and <$200,000",Others,Registered,Think Tanks,"Ministry of Culture, Community and Youth"
SINGAPORE MODERN PENTATHLON ASSOCIATION,T09SS0030B,,10/12/2010,"$50,000 and <$200,000",Sports,Registered,NSAs,Sport Singapore
SINGAPORE MANUFACTURING FEDERATION EDUCATION AND TRAINING FUND,S85CC0228G,Training & education,03/9/1985,"$50,000 and <$200,000",Others,Deregistered,General Charitable Purposes,"Ministry of Culture, Community and Youth"
SINGAPORE KARATE-DO FEDERATION,S71SS0055B,"Public awareness, promotion & advisory",14/8/2012,"$50,000 and <$200,000",Sports,Registered,NSAs,Sport Singapore
"Singapore Hindu Sabai, The",S54SS0008G,,19/2/1994,"$50,000 and <$200,000",Religious,Registered,Hinduism,"Ministry of Culture, Community and Youth"
SINGAPORE GUJARATI SCHOOL LIMITED,199805072E,Training & education,25/8/1999,"$50,000 and <$200,000",Education,Registered,Local Educational Institutions/Funds,Ministry of Education
Singapore Eye Foundation,S83SS0015F,Direct Services,17/4/1986,"$50,000 and <$200,000",Health,Registered,Diseases/Illnessess Support Group,Ministry of Health
SINGAPORE EPILEPSY FOUNDATION,199409591D,"Public awareness, promotion & advisory",18/7/1996,"$50,000 and <$200,000",Health,Registered,Diseases/Illnessess Support Group,Ministry of Health
Singapore Dental Health Foundation,S84SS0038J,"Public awareness, promotion & advisory",31/3/1986,"$50,000 and <$200,000",Sports,Registered,Others,Ministry of Health
Singapore DanceSport Federation,S87SS0059H,,31/12/2010,"$50,000 and <$200,000",Sports,Registered,NSAs,Sport Singapore
"Singapore Chinese Buddhist Association, The",S61SS0035L,Direct Services,30/12/1998,"$50,000 and <$200,000",Religious,Registered,Buddhism,"Ministry of Culture, Community and Youth"
"Singapore Chin Leng Keng, The",S76SS0053B,,13/4/1994,"$50,000 and <$200,000",Religious,Registered,Taoism,"Ministry of Culture, Community and Youth"
"Singapore Buddhist Federation, The",S64SS0008K,"Financial assistance, bursaries & scholarships",02/4/1990,"$50,000 and <$200,000",Religious,Registered,Buddhism,"Ministry of Culture, Community and Youth"
Singapore Boxing Federation,S62SS0024D,,11/3/2011,"$50,000 and <$200,000",Sports,Registered,NSAs,Sport Singapore
SINGAPORE BIBLE COLLEGE,S91CC0796K,Training & education,25/3/1991,"$50,000 and <$200,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
Singapore Ayyappa Seva Sangham,S83SS0005A,"Financial assistance, bursaries & scholarships",30/9/1986,"$50,000 and <$200,000",Religious,Registered,Hinduism,"Ministry of Culture, Community and Youth"
SINGAPORE ASSOCIATION OF THE SOVEREIGN MILITARY HOSPITALLER ORDER OF ST. JOHN OF JERUSALEM,T04SS0228K,Direct Services,07/11/2008,"$50,000 and <$200,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
Singapore Association for the Study of Obesity,T01SS0206D,Training & education,05/2/2007,"$50,000 and <$200,000",Health,Registered,Diseases/Illnessess Support Group,Ministry of Health
Singapore Association for the Advancement of Science (SAAS),S67SS0013F,"Public awareness, promotion & advisory",15/7/1985,"$50,000 and <$200,000",Sports,Registered,Others,Ministry of Education
"SINGAPORE ASSOCIATION FOR CONTINUING EDUCATION, THE",S79SS0040B,Training & education,11/3/1987,"$50,000 and <$200,000",Health,Registered,Active Ageing,Ministry of Health
"Singapore Arts Federation, The",S67SS0028B,"Financial assistance, bursaries & scholarships",22/3/1985,"$50,000 and <$200,000",Sports,Registered,Others,"Ministry of Culture, Community and Youth"
"Singapore American Community Action Council, The",S73SS0043D,Direct Services,23/2/1985,"$50,000 and <$200,000",Others,Registered,General Charitable Purposes,"Ministry of Culture, Community and Youth"
Sing Man Temple (Singapore),T08SS0124L,Direct Services,16/12/2008,"$50,000 and <$200,000",Religious,Registered,Buddhism,"Ministry of Culture, Community and Youth"
SING LIT STATION LIMITED,201615577D,Direct Services,02/11/2016,"$50,000 and <$200,000",Arts and Heritage,Registered with IPC,Literary Arts,"Ministry of Culture, Community and Youth"
Sikh Sewaks Singapore,S79SS0030H,,15/5/1996,"$50,000 and <$200,000",Sports,Registered,Others,"Ministry of Culture, Community and Youth"
SIGLAP CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,T07CC2013A,"Financial assistance, bursaries & scholarships",25/4/2007,"$50,000 and <$200,000",Community,Registered with IPC,South East,People's Association
Siddhartha Centre,S94SS0113B,"Financial assistance, bursaries & scholarships",26/12/1986,"$50,000 and <$200,000",Religious,Registered,Buddhism,"Ministry of Culture, Community and Youth"
Sian Keng Tong Temple,S87SS0002L,,07/7/1995,"$50,000 and <$200,000",Religious,Registered,Taoism,"Ministry of Culture, Community and Youth"
SIAN HENG TNG TEMPLE,S88CC0558K,,15/2/1988,"$50,000 and <$200,000",Religious,Registered,Buddhism,"Ministry of Culture, Community and Youth"
Si Dao Feng Jiao Temple,S96SS0009C,Direct Services,13/11/2002,"$50,000 and <$200,000",Religious,Registered,Taoism,"Ministry of Culture, Community and Youth"
SHRIMAD RAJCHANDRA MISSION DHARAMPUR (SINGAPORE) LTD.,201721347M,Direct Services,15/1/2018,"$50,000 and <$200,000",Sports,Registered,Others,"Ministry of Culture, Community and Youth"
SHIRDI SAI WORSHIP CENTRE LTD.,200820782H,Grantmaking,29/6/2012,"$50,000 and <$200,000",Religious,Registered,Hinduism,"Ministry of Culture, Community and Youth"
Shi Zhu Chinese Temple,S94SS0082F,,23/8/1996,"$50,000 and <$200,000",Religious,Registered,Taoism,"Ministry of Culture, Community and Youth"
Shepherd's Assembly,S89SS0074D,Training & education,31/8/1990,"$50,000 and <$200,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
SHEKINAH HARVEST CHURCH,T03SS0072F,Direct Services,08/5/2006,"$50,000 and <$200,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
SHADEE.CARE LTD.,202126195K,Direct Services,04/7/2022,"$50,000 and <$200,000",Health,Registered,Mental Health,Ministry of Health
SGH CARDIOLOGY RESEARCH FUND,S97CC1228L,Research,03/1/1997,"$50,000 and <$200,000",Others,Registered,General Charitable Purposes,"Ministry of Culture, Community and Youth"
SG SERVE LTD.,201621736D,Direct Services,28/8/2017,"$50,000 and <$200,000",Health,Registered with IPC,Other Community-based Services,Ministry of Health
SG CARING HEART LIMITED,201332216H,"Financial assistance, bursaries & scholarships",11/3/2016,"$50,000 and <$200,000",Social and Welfare,Deregistered,Community,Ministry of Social and Family Development
Seventy Times Seven,T09CC0007H,Direct Services,01/11/2009,"$50,000 and <$200,000",Social and Welfare,Registered with IPC,Children/Youth,Ministry of Social and Family Development
Serangoon CCC Community Development and Welfare Fund,T10CC0009B,"Financial assistance, bursaries & scholarships",01/6/2018,"$50,000 and <$200,000",Community,Registered with IPC,North East,People's Association
SERANGOON CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,S80SS0135C,"Financial assistance, bursaries & scholarships",23/9/2010,"$50,000 and <$200,000",Community,Deregistered,North East,People's Association
Sera Jey (Singapore) Buddhist Centre,T07SS0082J,,12/10/2009,"$50,000 and <$200,000",Religious,Registered,Buddhism,"Ministry of Culture, Community and Youth"
SENGKANG EAST CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,T07CC2010B,"Financial assistance, bursaries & scholarships",25/4/2007,"$50,000 and <$200,000",Community,Registered with IPC,North East,People's Association
Sengkang Central CCC Community Development and Welfare Fund,T07CC2053K,"Financial assistance, bursaries & scholarships",24/9/2007,"$50,000 and <$200,000",Community,Registered with IPC,North East,People's Association
SEMBAWANG WEST CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,T06CC1941B,"Financial assistance, bursaries & scholarships",15/3/2006,"$50,000 and <$200,000",Community,Registered with IPC,North West,People's Association
Sembawang Seng Pang Keng,S83SS0002B,Supports other Charities,11/6/1996,"$50,000 and <$200,000",Religious,Registered,Taoism,"Ministry of Culture, Community and Youth"
SEMBAWANG CENTRAL CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,T16CC0001J,"Financial assistance, bursaries & scholarships",03/2/2016,"$50,000 and <$200,000",Community,Registered with IPC,North West,People's Association
See Thian Foh Combined Temple,S92SS0126G,Direct Services,19/7/2006,"$50,000 and <$200,000",Religious,Registered,Buddhism,"Ministry of Culture, Community and Youth"
SCIENCE CENTRE BOARD ENDOWMENT FUND,T08CC3013H,Direct Services,,"$50,000 and <$200,000",Education,Exempt Charity,Local Educational Institutions/Funds,Ministry of Education
SCHOLASTIC ENVIRONMENT FUND LTD.,200309783M,Direct Services,01/6/2004,"$50,000 and <$200,000",Others,Registered,Environment,"Ministry of Culture, Community and Youth"
SCAB LIMITED,200207271H,,07/5/2004,"$50,000 and <$200,000",Arts and Heritage,Deregistered,Visual Arts,"Ministry of Culture, Community and Youth"
SAWL SCHOLARSHIP FUND,S89CC0680J,"Financial assistance, bursaries & scholarships",29/8/1989,"$50,000 and <$200,000",Education,Registered with IPC,Foundations & Trusts,Ministry of Education
Sathya Sai Mission (Singapore),S84SS0093D,Direct Services,11/4/1992,"$50,000 and <$200,000",Others,Registered,General Charitable Purposes,"Ministry of Culture, Community and Youth"
Samadhi Buddhist Society,S88SS0097H,"Public awareness, promotion & advisory",01/11/1990,"$50,000 and <$200,000",Religious,Registered,Buddhism,"Ministry of Culture, Community and Youth"
Sam Ann Temple Association,S84SS0028D,,30/6/1995,"$50,000 and <$200,000",Religious,Registered,Taoism,"Ministry of Culture, Community and Youth"
SALT AND LIGHT GOSPEL MISSION,T02SS0233C,Supports other Charities,28/12/2004,"$50,000 and <$200,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
SALT & LIGHT FOUNDATION,S00CC0008K,Direct Services,27/8/2018,"$50,000 and <$200,000",Religious,Registered,Christianity,"Ministry of Culture, Community and Youth"
Sakyadhita (Daughters of the Buddha),S94SS0098J,"Financial assistance, bursaries & scholarships",22/11/1994,"$50,000 and <$200,000",Religious,Registered,Buddhism,"Ministry of Culture, Community and Youth"
